Txn ID,Date,Customer ID,City,State,Category,Payment Mode,Amount (₹),Returned
TXN-00178,2023-09-23,CUST-1518,Chennai,Tamil Nadu,Electronics,Cash,10387,1
TXN-00179,2024-03-17,CUST-2304,Delhi,Delhi,Food & Grocery,Credit Card,21732,0
TXN-00180,2024-08-28,CUST-1286,Hyderabad,Telangana,Sports,UPI,1988,0
TXN-00181,2024-09-22,CUST-2043,Hyderabad,Telangana,Books & Media,UPI,11218,0
TXN-00182,2024-04-09,CUST-1914,Kolkata,West Bengal,Apparel,Net Banking,736,0
TXN-00183,2023-08-21,CUST-1696,Pune,Maharashtra,Books & Media,Debit Card,1524,0
TXN-00184,2024-04-23,CUST-1078,Hyderabad,Telangana,Books & Media,UPI,1090,0
TXN-00185,2023-06-28,CUST-1030,Hyderabad,Telangana,Food & Grocery,UPI,953,0
TXN-00186,2023-03-14,CUST-1152,Bengaluru,Karnataka,Food & Grocery,UPI,1696,0
TXN-00187,2023-03-12,CUST-1760,Mumbai,Maharashtra,Food & Grocery,Credit Card,1598,0
TXN-00188,2024-01-19,CUST-1368,Ahmedabad,Gujarat,Electronics,UPI,390,1
TXN-00189,2024-04-25,CUST-1356,Ahmedabad,Gujarat,Electronics,UPI,2788,0
TXN-00190,2024-12-06,CUST-2375,Pune,Maharashtra,Apparel,Debit Card,2147,0
TXN-00191,2023-07-25,CUST-1956,Chennai,Tamil Nadu,Food & Grocery,Credit Card,779,0
TXN-00192,2023-04-24,CUST-1334,Kolkata,West Bengal,Apparel,Credit Card,1029,0
TXN-00193,2024-05-07,CUST-1266,Delhi,Delhi,Books & Media,Credit Card,4816,0
TXN-00194,2023-06-25,CUST-1542,Kolkata,West Bengal,Sports,Cash,2871,0
TXN-00195,2023-03-24,CUST-2097,Hyderabad,Telangana,Books & Media,UPI,1382,0
TXN-00196,2023-01-19,CUST-1554,Ahmedabad,Gujarat,Sports,Credit Card,7118,0
TXN-00197,2024-08-14,CUST-1951,Ahmedabad,Gujarat,Apparel,UPI,535,0
TXN-00198,2024-07-04,CUST-2244,Ahmedabad,Gujarat,Apparel,Credit Card,519,0
TXN-00199,2023-04-22,CUST-1350,Delhi,Delhi,Electronics,Cash,1581,0
TXN-00200,2024-09-08,CUST-2350,Bengaluru,Karnataka,Electronics,Debit Card,1018,0
TXN-00201,2023-10-26,CUST-1739,Mumbai,Maharashtra,Books & Media,UPI,2387,0
TXN-00202,2024-09-04,CUST-1516,Delhi,Delhi,Food & Grocery,Debit Card,1239,0
TXN-00203,2024-01-05,CUST-2164,Bengaluru,Karnataka,Electronics,Debit Card,2259,0
TXN-00204,2024-04-19,CUST-2368,Chennai,Tamil Nadu,Electronics,UPI,4532,0
TXN-00205,2023-10-12,CUST-2498,Hyderabad,Telangana,Apparel,Debit Card,941,0
TXN-00206,2024-05-09,CUST-1940,Bengaluru,Karnataka,Sports,Debit Card,5134,0
TXN-00207,2023-06-27,CUST-1574,Pune,Maharashtra,Electronics,Credit Card,767,0
TXN-00208,2023-01-19,CUST-1261,Chennai,Tamil Nadu,Books & Media,UPI,1836,0
TXN-00209,2024-09-28,CUST-2050,Pune,Maharashtra,Home & Living,Debit Card,2200,0
TXN-00210,2024-08-09,CUST-1049,Bengaluru,Karnataka,Home & Living,Debit Card,353,0
TXN-00211,2024-06-08,CUST-1624,Ahmedabad,Gujarat,Food & Grocery,UPI,2902,0
TXN-00212,2024-11-11,CUST-1996,Kolkata,West Bengal,Home & Living,Credit Card,1763,0
TXN-00213,2023-01-04,CUST-2221,Delhi,Delhi,Home & Living,Debit Card,456,0
TXN-00214,2024-01-13,CUST-1050,Chennai,Tamil Nadu,Electronics,UPI,553,0
TXN-00215,2024-10-20,CUST-2152,Bengaluru,Karnataka,Food & Grocery,Credit Card,1903,0
TXN-00216,2023-08-02,CUST-1632,Hyderabad,Telangana,Books & Media,Debit Card,1979,0
TXN-00217,2023-08-12,CUST-2475,Ahmedabad,Gujarat,Personal Care,Cash,4364,0
TXN-00218,2023-02-28,CUST-1377,Hyderabad,Telangana,Electronics,Debit Card,3349,0
TXN-00219,2024-06-29,CUST-1610,Bengaluru,Karnataka,Personal Care,UPI,2282,0
TXN-00220,2023-04-19,CUST-1295,Delhi,Delhi,Food & Grocery,Credit Card,1434,0
TXN-00221,2023-08-26,CUST-1598,Delhi,Delhi,Books & Media,UPI,4868,0
TXN-00222,2024-04-29,CUST-2237,Chennai,Tamil Nadu,Electronics,Debit Card,720,0
TXN-00223,2023-11-30,CUST-1290,Bengaluru,Karnataka,Sports,UPI,1855,0
TXN-00224,2024-02-22,CUST-1777,Ahmedabad,Gujarat,Personal Care,UPI,1051,0
TXN-00225,2023-12-26,CUST-2093,Mumbai,Maharashtra,Food & Grocery,UPI,986,0
TXN-00226,2023-01-22,CUST-1191,Kolkata,West Bengal,Personal Care,Debit Card,4175,0
TXN-00227,2024-03-28,CUST-1154,Kolkata,West Bengal,Home & Living,Debit Card,1798,0
TXN-00228,2023-09-12,CUST-1641,Kolkata,West Bengal,Home & Living,UPI,2090,0
TXN-00229,2024-01-28,CUST-2172,Chennai,Tamil Nadu,Sports,Credit Card,2163,0
TXN-00230,2024-10-10,CUST-1827,Mumbai,Maharashtra,Personal Care,Credit Card,653,0
TXN-00231,2023-05-18,CUST-1746,Chennai,Tamil Nadu,Food & Grocery,Debit Card,3609,0
TXN-00232,2023-05-06,CUST-1800,Ahmedabad,Gujarat,Electronics,UPI,1281,0
TXN-00233,2024-11-23,CUST-2192,Bengaluru,Karnataka,Sports,Net Banking,1089,1
TXN-00234,2024-06-09,CUST-1074,Chennai,Tamil Nadu,Food & Grocery,Debit Card,3285,0
TXN-00235,2023-02-16,CUST-2297,Bengaluru,Karnataka,Personal Care,UPI,112,0
TXN-00236,2024-01-21,CUST-1981,Mumbai,Maharashtra,Apparel,UPI,773,0
TXN-00237,2024-08-05,CUST-1178,Kolkata,West Bengal,Home & Living,UPI,3826,0
TXN-00238,2024-05-25,CUST-1973,Bengaluru,Karnataka,Home & Living,UPI,2859,0
TXN-00239,2023-12-05,CUST-2458,Ahmedabad,Gujarat,Food & Grocery,Debit Card,786,0
TXN-00240,2024-09-06,CUST-1803,Bengaluru,Karnataka,Sports,UPI,3530,0
TXN-00241,2023-08-23,CUST-1279,Hyderabad,Telangana,Books & Media,UPI,1267,0
TXN-00242,2024-10-17,CUST-1406,Mumbai,Maharashtra,Electronics,UPI,3170,0
TXN-00243,2024-01-27,CUST-2305,Pune,Maharashtra,Personal Care,UPI,1724,0
TXN-00244,2023-02-23,CUST-1652,Chennai,Tamil Nadu,Sports,UPI,1609,0
TXN-00245,2023-01-12,CUST-2067,Bengaluru,Karnataka,Food & Grocery,UPI,3870,1
TXN-00246,2024-03-21,CUST-1469,Kolkata,West Bengal,Books & Media,Credit Card,7483,0
TXN-00247,2023-03-10,CUST-1221,Bengaluru,Karnataka,Apparel,Debit Card,2537,0
TXN-00248,2023-02-09,CUST-1592,Chennai,Tamil Nadu,Home & Living,UPI,4072,0
TXN-00249,2023-09-21,CUST-1198,Delhi,Delhi,Electronics,UPI,686,1
TXN-00250,2024-06-28,CUST-1201,Kolkata,West Bengal,Food & Grocery,Debit Card,301,0
TXN-00251,2024-04-18,CUST-1739,Bengaluru,Karnataka,Electronics,Credit Card,8139,0
TXN-00252,2024-12-04,CUST-1880,Chennai,Tamil Nadu,Food & Grocery,Net Banking,835,0
TXN-00253,2023-03-15,CUST-2455,Ahmedabad,Gujarat,Electronics,Credit Card,798,0
TXN-00254,2024-07-09,CUST-2288,Pune,Maharashtra,Home & Living,Cash,2383,0
TXN-00255,2023-05-05,CUST-1468,Mumbai,Maharashtra,Home & Living,UPI,5547,1
TXN-00256,2023-12-19,CUST-2305,Ahmedabad,Gujarat,Home & Living,Debit Card,2299,0
TXN-00257,2024-01-28,CUST-1689,Ahmedabad,Gujarat,Sports,UPI,2708,0
TXN-00258,2023-11-13,CUST-2206,Ahmedabad,Gujarat,Books & Media,Cash,16795,1
TXN-00259,2023-02-18,CUST-1623,Kolkata,West Bengal,Apparel,UPI,558,0
TXN-00260,2023-04-03,CUST-2170,Mumbai,Maharashtra,Electronics,UPI,1464,0
TXN-00261,2023-12-14,CUST-1352,Hyderabad,Telangana,Home & Living,UPI,1356,0
TXN-00262,2023-08-03,CUST-1061,Mumbai,Maharashtra,Food & Grocery,Credit Card,1230,1
TXN-00263,2024-03-17,CUST-1458,Pune,Maharashtra,Personal Care,Credit Card,2260,0
TXN-00264,2024-03-06,CUST-1219,Pune,Maharashtra,Electronics,Cash,11011,0
TXN-00265,2023-12-11,CUST-2389,Mumbai,Maharashtra,Food & Grocery,Credit Card,2018,0
TXN-00266,2024-09-12,CUST-1179,Kolkata,West Bengal,Food & Grocery,UPI,3209,0
TXN-00267,2024-09-01,CUST-1835,Hyderabad,Telangana,Sports,UPI,3415,0
TXN-00268,2023-05-09,CUST-1935,Kolkata,West Bengal,Apparel,UPI,5060,0
TXN-00269,2023-09-25,CUST-2246,Ahmedabad,Gujarat,Apparel,Cash,2048,0
TXN-00270,2024-06-16,CUST-1763,Ahmedabad,Gujarat,Electronics,Credit Card,658,0
TXN-00271,2023-08-09,CUST-1900,Kolkata,West Bengal,Home & Living,Cash,5660,0
TXN-00272,2024-06-18,CUST-1532,Pune,Maharashtra,Apparel,Cash,2524,0
TXN-00273,2023-06-28,CUST-1876,Delhi,Delhi,Apparel,UPI,5315,0
TXN-00274,2024-11-20,CUST-1250,Hyderabad,Telangana,Home & Living,Credit Card,1128,0
TXN-00275,2024-02-15,CUST-1943,Kolkata,West Bengal,Electronics,UPI,1571,0
TXN-00276,2023-08-26,CUST-2402,Mumbai,Maharashtra,Food & Grocery,Debit Card,391,0
TXN-00277,2024-09-13,CUST-2069,Mumbai,Maharashtra,Electronics,UPI,1239,0
TXN-00278,2023-08-26,CUST-1679,Pune,Maharashtra,Home & Living,UPI,583,0
TXN-00279,2024-08-18,CUST-1353,Kolkata,West Bengal,Books & Media,UPI,605,0
TXN-00280,2023-07-28,CUST-2135,Hyderabad,Telangana,Home & Living,Credit Card,1389,1
TXN-00281,2024-06-29,CUST-1606,Hyderabad,Telangana,Books & Media,Credit Card,2962,0
TXN-00282,2023-07-09,CUST-1132,Mumbai,Maharashtra,Books & Media,UPI,3610,0
TXN-00283,2023-07-18,CUST-2280,Chennai,Tamil Nadu,Home & Living,Debit Card,765,0
TXN-00284,2023-07-13,CUST-1177,Pune,Maharashtra,Apparel,UPI,660,0
